@relation 'train_clean-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.047pixel_576+0.047pixel_516+0.047pixel_786+0.047pixel_544+0.046pixel_548... numeric
@attribute -0.05pixel_48-0.05pixel_16-0.05pixel_17-0.05pixel_18-0.05pixel_49... numeric
@attribute -0.09pixel_525-0.089pixel_526-0.088pixel_523-0.087pixel_524-0.086pixel_522... numeric
@attribute -0.083pixel_323-0.08pixel_291-0.077pixel_388-0.074pixel_259-0.074pixel_355... numeric
@attribute -0.114pixel_834-0.112pixel_802-0.108pixel_866+0.105pixel_230-0.105pixel_770... numeric
@attribute -0.105pixel_99-0.092pixel_935-0.09pixel_67-0.086pixel_131-0.086pixel_98... numeric
@attribute -0.142pixel_260-0.139pixel_228-0.137pixel_772-0.135pixel_292-0.13pixel_804... numeric
@attribute 0.122pixel_1023+0.111pixel_1022+0.109pixel_1020+0.108pixel_996+0.101pixel_1021... numeric
@attribute -0.131pixel_809-0.123pixel_840-0.119pixel_776-0.111pixel_777-0.11pixel_841... numeric
@attribute '0.106pixel_263+0.086pixel_411-0.085pixel_646+0.081pixel_443+0.08 pixel_314...' numeric
@attribute '-0.121pixel_231+0.11 pixel_808+0.105pixel_433-0.105pixel_806-0.101pixel_199...' numeric
@attribute 0.147pixel_401+0.115pixel_433+0.109pixel_498+0.102pixel_497+0.096pixel_530... numeric
@attribute -0.128pixel_166-0.121pixel_134-0.121pixel_71-0.113pixel_102-0.106pixel_198... numeric
@attribute -0.094pixel_629-0.092pixel_502-0.091pixel_604-0.089pixel_636-0.087pixel_791... numeric
@attribute -0.118pixel_520-0.111pixel_519-0.106pixel_552-0.104pixel_551+0.103pixel_1024... numeric
@attribute 0.121pixel_538+0.101pixel_872+0.101pixel_474+0.098pixel_506+0.097pixel_570... numeric
@attribute -0.124pixel_638-0.123pixel_670-0.103pixel_606-0.102pixel_702+0.099pixel_871... numeric
@attribute '-0.116pixel_426-0.112pixel_626+0.11 pixel_689-0.106pixel_427-0.104pixel_396...' numeric
@attribute -0.128pixel_403-0.119pixel_62-0.114pixel_281-0.11pixel_63-0.11pixel_29... numeric
@attribute 0.139pixel_433+0.121pixel_496+0.115pixel_464+0.107pixel_401+0.103pixel_659... numeric
@attribute -0.145pixel_1023-0.125pixel_1024-0.117pixel_990+0.114pixel_872-0.113pixel_992... numeric
@attribute -0.162pixel_295-0.13pixel_743-0.104pixel_297-0.103pixel_627-0.103pixel_872... numeric
@attribute 0.144pixel_403+0.126pixel_625+0.113pixel_690+0.105pixel_371-0.101pixel_337... numeric
@attribute 0.142pixel_409-0.126pixel_665-0.124pixel_697+0.119pixel_872-0.111pixel_464... numeric
@attribute -0.175pixel_337+0.114pixel_627-0.106pixel_338-0.104pixel_306+0.096pixel_563... numeric
@attribute '-0.12pixel_434+0.11 pixel_777-0.101pixel_338-0.1pixel_358-0.097pixel_729...' numeric
@attribute -0.136pixel_807-0.13pixel_1024-0.112pixel_457-0.102pixel_312+0.102pixel_391... numeric
@attribute -0.139pixel_560-0.128pixel_592+0.111pixel_690-0.109pixel_936-0.108pixel_378... numeric
@attribute '0.122pixel_402+0.12 pixel_312+0.118pixel_625+0.113pixel_370+0.111pixel_280...' numeric
@attribute 0.125pixel_401+0.119pixel_345-0.112pixel_625-0.101pixel_593+0.094pixel_594... numeric
@attribute '0.124pixel_648+0.123pixel_104+0.109pixel_556+0.101pixel_105+0.1  pixel_662...' numeric
@attribute -0.113pixel_625+0.107pixel_839-0.106pixel_166-0.1pixel_72-0.099pixel_690... numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
{0 1.198127,1 2.039481,2 0.598649,3 1.99142,4 -0.471549,5 -0.373618,6 0.573258,7 1.63334,8 0.757041,9 1.080432,10 -0.374952,11 0.705708,12 -0.358173,13 0.436587,14 0.946268,15 -0.461713,16 0.890874,17 -0.145795,18 0.243631,19 -0.601992,20 -0.111209,21 0.787373,22 1.211699,23 -0.018877,24 -0.926232,25 -0.126634,26 0.236337,27 1.295159,28 0.494678,29 -0.061297,30 0.516463,31 -0.697022,32 8}
{0 9.961187,1 8.442819,2 -0.897297,3 6.82752,4 -2.998871,5 0.425703,6 -0.433841,7 0.326786,8 1.481204,9 0.631965,10 -0.101759,11 -0.023182,12 -0.790254,13 -0.400855,14 0.701148,15 -0.487783,16 0.54079,17 0.298739,18 -0.18043,19 1.28349,20 0.023887,21 0.352212,22 -0.643139,23 0.938569,24 0.756769,25 -1.052532,26 -0.208694,27 0.611395,28 0.359684,29 0.075824,30 -0.143703,31 0.112851,32 10}
{0 2.858976,1 -4.332996,2 -0.839269,3 3.53989,4 -1.605276,5 -2.590089,6 0.229844,7 -0.860416,8 -0.450644,9 -0.884905,10 0.045345,11 0.098391,12 -0.216498,13 -0.475091,14 0.778516,15 -0.474673,16 0.352748,17 0.269841,18 -1.101375,19 0.349353,20 0.152336,21 -0.024786,22 0.722081,23 -0.072389,24 0.187525,25 -0.276582,26 0.654235,27 0.143908,28 0.051659,29 0.075077,30 0.341643,31 0.266073,32 10}
{0 12.703834,1 -0.160157,2 -2.367092,3 0.829748,4 -1.780577,5 -0.367842,6 0.345998,7 -0.712421,8 2.673015,9 -0.374054,10 -0.301496,11 1.806952,12 -0.316076,13 0.659485,14 0.154225,15 0.08941,16 -0.544668,17 0.45746,18 -0.08054,19 -0.527298,20 -0.225047,21 -0.163748,22 -0.033821,23 0.395539,24 -0.556622,25 -0.317016,26 0.669517,27 -0.005121,28 0.145536,29 0.125979,30 0.517364,31 -0.107134,32 9}
{0 9.023609,1 -0.954812,2 -4.728158,3 2.438763,4 -0.427977,5 0.117409,6 1.059841,7 0.376707,8 0.701855,9 -1.112147,10 0.349697,11 1.522527,12 0.289463,13 0.20935,14 -1.052112,15 -0.516663,16 0.585269,17 0.111147,18 -0.096132,19 0.552376,20 0.716404,21 0.478952,22 0.108758,23 -0.40789,24 -0.559128,25 -0.756186,26 -0.000636,27 -0.146412,28 0.752951,29 0.409871,30 0.286435,31 0.005932,32 8}
{0 9.492222,1 -6.2115,2 -2.479032,3 0.392147,4 -1.275682,5 -1.447773,6 -1.276051,7 1.006351,8 1.269459,9 -0.493272,10 0.226871,11 0.847045,12 0.035275,13 -1.237322,14 0.744027,15 -1.171265,16 -0.138239,17 0.030212,18 0.502925,19 -0.013113,20 -0.01717,21 1.217071,22 0.146606,23 0.441638,24 -0.579128,25 -0.033601,26 0.369195,27 -0.370012,28 0.251955,29 0.024066,30 -0.342603,31 -0.68769,32 7}
{0 2.711176,1 3.484919,2 -0.686173,3 3.455659,4 -0.829003,5 0.94067,6 -0.108777,7 1.136439,8 0.887311,9 1.569934,10 -0.773801,11 0.992163,12 -0.24678,13 -0.171682,14 1.290332,15 -0.51365,16 1.557096,17 -0.469228,18 -0.008783,19 -0.224212,20 0.023316,21 0.571819,22 1.27186,23 -0.173998,24 -0.987051,25 -0.629577,26 0.630258,27 1.079023,28 0.790407,29 0.219142,30 0.532349,31 -0.057004,32 8}
{0 3.214949,1 3.076878,2 -0.781155,3 2.41463,4 -1.64651,5 0.561909,6 -1.252977,7 1.199238,8 0.524399,9 0.201611,10 -0.138269,11 0.311197,12 -0.680872,13 -0.655775,14 0.664721,15 -0.644815,16 -1.116494,17 -0.208297,18 -0.613823,19 1.272926,20 -0.041653,21 -0.636158,22 -0.902131,23 -0.036313,24 0.453194,25 0.326236,26 0.494253,27 -0.222755,28 0.474715,29 -0.178502,30 0.954875,31 0.525046,32 7}
{0 9.931938,1 -7.175056,2 -3.355149,3 1.024164,4 -1.264435,5 -1.379129,6 0.235388,7 0.583851,8 2.279583,9 -0.450236,10 0.220764,11 2.572834,12 -0.055942,13 0.071875,14 0.886771,15 0.776099,16 -0.457275,17 0.382041,18 0.367203,19 0.181361,20 -0.169724,21 0.343926,22 -0.598866,23 0.645125,24 -0.956181,25 -0.198162,26 0.186907,27 0.254105,28 -0.204038,29 -0.281741,30 0.444202,31 0.426409,32 9}
{0 1.615907,1 0.239857,2 -0.541419,3 0.732081,4 -0.451736,5 0.129571,6 -0.1897,7 0.467278,8 -0.288345,9 -0.228465,10 0.318643,11 0.396469,12 -0.558191,13 -0.497343,14 -0.188363,15 0.126504,16 -0.071318,17 -0.159772,18 -0.224485,19 0.515239,20 -0.161391,21 0.344881,22 0.008879,23 0.039244,24 0.163907,25 -0.049942,26 0.353026,27 0.035086,28 0.065822,29 -0.078129,30 0.327296,31 0.038412,32 10}
{0 16.044326,1 -2.772134,2 -1.243875,3 2.362666,4 0.648187,5 0.057434,6 1.163142,7 0.341069,8 0.594475,9 -1.707573,10 -1.7394,11 -0.011538,12 -0.782018,13 -0.710301,14 0.709213,15 -0.194323,16 0.053565,17 -0.180348,18 0.491132,19 0.297046,20 0.301622,21 0.20361,22 -0.230073,23 0.694671,24 -0.620045,25 -0.169757,26 0.613292,27 -0.147059,28 -0.002313,29 -0.203312,30 0.450817,31 -0.183311,32 6}
{0 14.599165,1 -4.011318,2 1.84292,3 1.642471,4 0.490904,5 0.255611,6 1.204872,7 0.249758,8 0.85463,9 -1.728895,10 -1.031997,11 0.356066,12 -0.344575,13 -0.720786,14 1.471552,15 -0.252579,16 -0.195623,17 -0.162447,18 -0.039244,19 0.392919,20 0.535185,21 0.827634,22 -0.215258,23 0.006761,24 -0.677251,25 -0.268912,26 0.548936,27 -0.366825,28 0.143557,29 -0.039919,30 0.400081,31 0.206721,32 6}
{0 1.293412,1 -2.772609,2 0.631242,3 2.41159,4 -1.656432,5 -0.477477,6 -0.368484,7 -1.328656,8 -0.240294,9 -0.704579,10 -0.690451,11 0.44774,12 0.3061,13 -0.155066,14 0.194975,15 -0.046173,16 0.145545,17 -0.038901,18 0.354686,19 -0.014967,20 -0.489212,21 -0.078694,22 -0.38006,23 0.525117,24 -0.307665,25 0.261291,26 -0.054795,27 0.016882,28 0.667073,29 0.226091,30 0.245023,31 0.065732}
{0 1.760547,1 -2.992942,2 1.169326,3 2.508278,4 -0.711235,5 0.048129,6 -0.436025,7 -1.541232,8 -0.231322,9 -0.4584,10 0.864311,11 0.415095,12 -1.701155,13 0.117375,14 0.341368,15 -0.586139,16 0.026651,17 1.18668,18 0.538062,19 0.380888,20 0.005038,21 -0.329356,22 0.146165,23 0.030268,24 -1.136311,25 -0.484905,26 0.313233,27 -0.392066,28 0.13003,29 0.031932,30 0.248634,31 -0.058349,32 5}
{0 12.926188,1 -2.090875,2 -1.74562,3 0.092089,4 -1.730186,5 -0.919975,6 -1.199117,7 0.340981,8 1.396088,9 -0.415338,10 0.226907,11 0.377743,12 -0.099444,13 -1.525012,14 0.344074,15 -0.891897,16 0.017105,17 0.084046,18 0.574844,19 0.109422,20 -0.559434,21 0.483248,22 0.072145,23 0.04416,24 -1.069735,25 -0.158578,26 0.406835,27 -0.104219,28 0.593341,29 0.151308,30 -0.015595,31 -0.301864,32 7}
{0 2.302527,1 2.213838,2 -0.222158,3 1.856088,4 -0.502843,5 0.244902,6 0.146834,7 0.085115,8 1.449444,9 0.21489,10 -0.492555,11 0.245644,12 -0.123879,13 0.727333,14 -0.107939,15 -0.942468,16 0.448878,17 0.216207,18 -0.33207,19 0.704226,20 -0.303527,21 0.113567,22 0.230107,23 -0.031111,24 0.316339,25 0.964311,26 0.618296,27 -0.276564,28 0.098595,29 0.265486,30 0.13162,31 0.088421,32 9}
{0 13.353765,1 2.843583,2 -1.382642,3 5.058695,4 2.059278,5 -0.368148,6 -0.469356,7 0.425259,8 -0.102263,9 -0.60639,10 -0.651376,11 1.444481,12 0.431604,13 -0.988378,14 -1.031094,15 -0.570704,16 0.567843,17 0.809603,18 0.568868,19 -0.146979,20 -0.258579,21 0.012423,22 -0.457667,23 -0.428486,24 -0.590642,25 -0.083833,26 1.004185,27 0.048795,28 -0.123127,29 -0.357632,30 -0.241683,31 0.210069,32 2}
{0 8.942051,1 -1.281425,2 -2.10413,3 3.134599,4 2.475771,5 -0.259959,6 -0.454109,7 -1.603594,8 1.062762,9 1.2949,10 1.057076,11 0.963613,12 -0.436271,13 -0.494061,14 0.919351,15 -0.602834,16 -0.124504,17 -0.404587,18 -0.280194,19 0.375196,20 -0.276815,21 0.637386,22 -0.380978,23 0.036619,24 -0.185696,25 -0.49753,26 0.361603,27 -0.173221,28 -0.054399,29 0.076239,30 0.743762,31 -0.458307,32 5}
{0 5.74075,1 -9.755119,2 1.376418,3 5.865035,4 -2.100333,5 -0.63809,6 0.343248,7 -0.458406,8 0.947816,9 -0.527372,10 -0.140469,11 1.060875,12 -0.95322,13 -0.939831,14 0.26136,15 -0.290385,16 0.074822,17 -0.098323,18 -0.30066,19 0.043841,20 0.213914,21 -0.137927,22 -0.398946,23 -0.491704,24 -0.627665,25 -0.011924,26 0.298472,27 0.514013,28 0.576344,29 -0.13419,30 -0.467293,31 0.192597,32 6}
{0 11.479617,1 -10.941704,2 0.200106,3 2.633076,4 -1.478697,5 -0.481681,6 1.350086,7 1.91443,8 0.631169,9 0.837439,10 0.277308,11 0.902816,12 -0.07002,13 -0.704038,14 0.439858,15 -0.525654,16 -0.836569,17 0.224635,18 -0.20957,19 0.677251,20 -0.614771,21 -0.127069,22 0.099589,23 0.03292,24 -1.171544,25 -0.206242,26 0.606497,27 0.518841,28 0.296536,29 -0.002746,30 -0.267866,31 -0.22835,32 10}
{0 7.741317,1 5.066578,2 -1.734029,3 2.879699,4 -1.960978,5 0.578424,6 -2.58946,7 -0.090999,8 1.303708,9 -1.243647,10 0.001052,11 0.101348,12 -0.130956,13 -0.985627,14 0.319429,15 -1.198879,16 -1.535189,17 -0.489962,18 0.18707,19 0.25254,20 -0.015358,21 -0.52723,22 0.079416,23 -0.592888,24 -0.436213,25 -0.301543,26 0.057666,27 0.175772,28 0.364285,29 -0.062592,30 0.024809,31 -0.381059,32 4}
{0 18.27259,1 -2.612842,2 -3.60602,3 2.665501,4 -1.346073,5 0.316754,6 1.768863,7 0.119429,8 -0.143149,9 -0.068898,10 0.882879,11 -0.40752,12 0.12524,13 -0.010984,14 0.374984,15 -0.374581,16 -0.360506,17 0.919096,18 -0.406903,19 0.199347,20 -0.299741,21 -0.179107,22 -0.307977,23 0.977474,24 -0.838834,25 0.10117,26 0.607304,27 0.035059,28 0.929284,29 0.07679,30 0.242707,31 -0.188371,32 10}
{0 17.26165,1 -4.507447,2 -0.825667,3 0.868185,4 -1.680493,5 -1.373592,6 -0.830447,7 -0.791609,8 0.075597,9 0.480161,10 -1.729958,11 1.566573,12 -1.035508,13 -0.260127,14 0.408912,15 -0.773627,16 -0.314514,17 0.716195,18 -0.309245,19 0.636073,20 0.286848,21 0.673911,22 -0.011949,23 -0.13811,24 -0.449382,25 -0.397844,26 -0.083653,27 0.210038,28 0.196083,29 -0.13375,30 0.241485,31 -0.430827}
{0 8.334038,1 -6.036687,2 -4.669494,3 1.355205,4 -0.73792,5 -1.724379,6 0.176968,7 0.745701,8 2.28849,9 -1.00117,10 0.305345,11 2.747244,12 -0.190025,13 0.011895,14 0.919104,15 0.302684,16 -0.241845,17 0.279833,18 0.627407,19 0.398149,20 -0.516727,21 0.741597,22 -0.305572,23 0.651394,24 -0.852134,25 -0.100217,26 -0.067117,27 -0.3055,28 -0.086125,29 -0.245364,30 0.18857,31 0.02684,32 9}
{0 18.712032,1 -2.272669,2 1.49325,3 1.542649,4 -1.414732,5 0.190257,6 1.778034,7 -0.213866,8 0.484976,9 -0.242552,10 0.742131,11 1.353912,12 0.173222,13 -0.811757,14 0.329595,15 -1.83139,16 -0.338017,17 -0.100589,18 -0.479881,19 0.336576,20 -0.800868,21 0.341954,22 -0.544972,23 0.604728,24 -0.990181,25 0.084732,26 0.358092,27 0.328559,28 0.827147,29 -0.344824,30 0.333026,31 -0.05533,32 10}
{0 11.025714,1 -0.537811,2 -0.371628,3 0.702375,4 -1.93102,5 -1.110493,6 -1.043761,7 0.318773,8 1.054094,9 -0.251453,10 0.579264,11 0.155085,12 -0.029634,13 -0.686189,14 0.24977,15 -0.506171,16 0.531132,17 0.15064,18 0.333817,19 0.132125,20 0.263123,21 0.157447,22 -0.348533,23 0.134819,24 -0.360806,25 -0.190952,26 0.899547,27 0.133636,28 -0.134911,29 0.054013,30 0.54797,31 -0.245188,32 4}
{0 2.129161,1 2.521069,2 -0.784436,3 2.695086,4 -0.974261,5 0.943116,6 -0.575315,7 1.66562,8 0.036154,9 1.413615,10 -0.452212,11 1.547488,12 -0.435444,13 -0.237699,14 1.269393,15 -0.052238,16 0.628614,17 -0.450145,18 -0.875222,19 0.358929,20 0.381791,21 0.028288,22 -0.282612,23 0.076454,24 -0.46162,25 0.058,26 1.092717,27 -0.424842,28 0.885619,29 -0.35689,30 0.766354,31 0.224488,32 3}
{0 10.906159,1 -7.407903,2 -3.685993,3 2.65426,4 0.170058,5 -0.73071,6 1.232133,7 1.003452,8 0.270938,9 -0.730964,10 -0.891135,11 0.290309,12 -1.118489,13 -0.38572,14 -0.710706,15 0.162821,16 0.284101,17 -0.372297,18 0.517192,19 -0.258396,20 -0.147255,21 0.126799,22 -0.926662,23 0.900031,24 -0.875972,25 0.031252,26 0.674707,27 0.354939,28 -0.00671,29 -0.916971,30 0.042028,31 -0.601519,32 6}
{0 15.146365,1 -1.910354,2 -2.538262,3 2.564937,4 0.416062,5 0.01041,6 1.192131,7 0.132772,8 0.600508,9 -1.375019,10 -1.730478,11 -0.051498,12 -0.697419,13 -0.705024,14 0.361717,15 -0.094633,16 -0.014928,17 0.107854,18 1.153663,19 0.26169,20 -0.103887,21 -0.019181,22 0.087845,23 0.486574,24 -0.305309,25 -0.283448,26 0.560848,27 0.244345,28 -0.288347,29 0.13349,30 0.205683,31 -0.79911,32 6}
{0 2.537814,1 -4.04455,2 -1.856327,3 2.461514,4 -0.508268,5 -2.596006,6 0.63224,7 -0.504156,8 0.160672,9 -1.326285,10 0.584685,11 1.771638,12 -0.719114,13 -0.478447,14 1.16151,15 -0.075159,16 0.35105,17 0.832444,18 0.131552,19 1.73137,20 -0.081064,21 0.189046,22 0.032491,23 -0.807811,24 0.105148,25 -0.152622,26 1.290258,27 1.093556,28 0.384559,29 -0.155524,30 -0.127739,31 -0.038592,32 9}
{0 4.432059,1 4.904371,2 0.457316,3 3.915179,4 -1.403031,5 -0.32038,6 0.5854,7 0.867748,8 1.12529,9 0.870731,10 -0.370864,11 0.745121,12 -0.500636,13 -0.136198,14 0.791369,15 -0.313986,16 1.583908,17 -0.655341,18 0.358977,19 -0.177954,20 0.14214,21 0.291839,22 1.445037,23 0.121811,24 -0.956527,25 -1.034381,26 0.175226,27 1.064075,28 0.547645,29 0.038418,30 0.339308,31 -0.037549,32 8}
{0 5.65215,1 -6.192101,2 2.717359,3 1.464625,4 -1.363149,5 0.749674,6 -1.971559,7 0.522545,8 0.723233,9 -0.144637,10 0.684945,11 1.014698,12 -0.157434,13 0.409961,14 0.159048,15 -0.061857,16 0.081571,17 0.048607,18 -0.726609,19 0.626715,20 -0.141896,21 0.684154,22 0.70811,23 0.75835,24 -0.663251,25 -0.611059,26 -0.011823,27 0.363269,28 0.019617,29 1.029702,30 0.115404,31 -0.124948,32 2}
{0 16.151874,1 -1.820675,2 1.396673,3 3.525999,4 0.997862,5 -0.949745,6 -1.370702,7 1.119913,8 0.420454,9 -1.782244,10 0.05728,11 0.972242,12 0.001308,13 0.742637,14 -0.104231,15 -0.230253,16 0.220893,17 0.30178,18 -0.10207,19 0.425547,20 0.003997,21 0.041883,22 -0.061257,23 0.031898,24 -0.419668,25 -0.095042,26 0.280459,27 0.031282,28 0.186283,29 0.030414,30 0.126397,31 -0.045732,32 2}
{0 1.03393,1 0.832874,2 -0.22205,3 0.86616,4 -0.980246,5 0.268765,6 -0.178858,7 1.249637,8 -0.276563,9 0.55818,10 -0.520413,11 0.422499,12 -0.831333,13 -0.047384,14 0.797669,15 -0.017505,16 0.343884,17 -0.503548,18 -0.31955,19 0.06934,20 -0.155459,21 -0.306048,22 -0.385563,23 0.079803,24 -0.135383,25 0.10569,26 0.396071,27 0.037534,28 0.137718,29 0.46128,30 0.090176,31 0.314957}
{0 5.051895,1 -4.588449,2 1.668338,3 0.333325,4 -1.072262,5 0.321159,6 0.102245,7 0.439949,8 1.079244,9 0.096988,10 0.349109,11 0.980135,12 0.32384,13 -1.022828,14 0.13622,15 -0.561631,16 0.226542,17 -0.27854,18 -0.165988,19 0.623625,20 0.262317,21 -0.231059,22 -0.243938,23 0.231797,24 0.162889,25 -0.657933,26 0.192874,27 0.028279,28 -0.181054,29 0.203076,30 -0.637929,31 -0.24931,32 8}
{0 12.195876,1 0.695179,2 -1.334536,3 0.74825,4 -1.704093,5 -0.312534,6 0.533327,7 -0.851142,8 2.537104,9 -0.290402,10 -0.348878,11 1.516778,12 -0.447856,13 0.720151,14 -0.036089,15 0.017879,16 -0.642768,17 0.401905,18 -0.312275,19 -0.690025,20 0.002462,21 -0.123763,22 -0.079699,23 0.267105,24 -0.355237,25 -0.531164,26 0.781018,27 0.036685,28 0.189603,29 0.061423,30 0.534788,31 -0.110853,32 9}
{0 15.230129,1 -10.945713,2 -2.174037,3 3.039307,4 -1.665178,5 -0.510541,6 1.541543,7 1.593316,8 0.227287,9 0.326253,10 0.738885,11 -0.120781,12 0.342178,13 0.053561,14 0.602786,15 -0.069678,16 -0.906752,17 0.645335,18 -0.38438,19 0.52128,20 -0.341838,21 -0.137599,22 -0.234727,23 0.351548,24 -1.290709,25 -0.134451,26 0.69278,27 0.319177,28 0.206821,29 -0.096985,30 -0.060197,31 -0.300251,32 10}
{0 2.687288,1 3.54467,2 1.352247,3 3.395294,4 -0.989224,5 -1.329599,6 0.80821,7 2.371434,8 1.044609,9 1.333987,10 -0.474501,11 0.761188,12 -0.821411,13 0.470005,14 0.515986,15 -1.002112,16 0.085708,17 0.936051,18 0.106419,19 0.666344,20 -0.16134,21 0.331705,22 -0.355443,23 0.517493,24 0.079971,25 0.717758,26 0.310973,27 0.120257,28 -0.26194,29 0.287331,30 0.085772,31 -0.587765,32 6}
{0 19.29436,1 0.203385,2 -0.991207,3 1.889461,4 -2.037823,5 -0.688847,6 -0.017354,7 -0.345469,8 -1.22451,9 -0.000173,10 0.440361,11 1.626214,12 0.305344,13 0.39513,14 0.794222,15 -0.404661,16 -0.06383,17 -0.01922,18 1.164647,19 0.202739,20 0.009128,21 0.138975,22 0.742194,23 -0.328404,24 0.033128,25 0.275998,26 0.358551,27 -0.003613,28 -0.242784,29 0.270228,30 0.186337,31 0.064146,32 3}
{0 8.252259,1 5.627892,2 3.327377,3 2.317106,4 -0.71275,5 -3.161406,6 1.098475,7 -0.995253,8 1.051529,9 0.000524,10 0.397551,11 -0.54506,12 0.362599,13 -0.580204,14 -1.549755,15 0.151312,16 -1.157021,17 0.102267,18 0.806498,19 1.172655,20 1.384775,21 0.688308,22 0.756797,23 0.725249,24 -0.924604,25 -0.072304,26 0.71741,27 -0.062002,28 0.992313,29 0.428544,30 0.140964,31 0.324736,32 5}
{0 10.367266,1 -7.779609,2 -3.675207,3 2.914095,4 -0.844136,5 -2.118939,6 0.140785,7 0.501177,8 -0.043889,9 0.844618,10 0.189031,11 0.06398,12 0.394991,13 1.437664,14 0.390263,15 -0.947542,16 -0.160799,17 0.116659,18 0.638091,19 0.37729,20 0.104945,21 0.871213,22 -0.469449,23 -0.871744,24 -0.32224,25 -1.319727,26 0.372592,27 -1.02685,28 -0.336082,29 0.100447,30 -0.468909,31 0.331339,32 3}
{0 12.003248,1 4.38794,2 -4.35575,3 3.888124,4 -1.450444,5 0.457746,6 -1.0088,7 -0.872357,8 -0.278048,9 -0.468772,10 0.919329,11 0.38563,12 0.104466,13 0.408862,14 0.693482,15 0.771769,16 0.051705,17 -0.340141,18 -0.025755,19 0.534887,20 1.199947,21 1.441645,22 -0.553842,23 -0.9767,24 -0.833604,25 -0.644006,26 0.144958,27 0.110151,28 -0.173255,29 -0.563736,30 -0.512934,31 -0.304815,32 3}
{0 9.721251,1 2.773306,2 -4.750778,3 1.82104,4 -1.346283,5 0.863181,6 -0.629373,7 -0.517265,8 2.804795,9 -1.037445,10 -0.323382,11 1.697444,12 0.249634,13 0.75972,14 0.135209,15 -0.563644,16 -0.241289,17 0.279801,18 0.030581,19 0.217718,20 -0.885538,21 0.725501,22 0.522068,23 0.283428,24 -0.919182,25 0.436879,26 0.362543,27 -1.123271,28 -0.100652,29 0.017407,30 0.061336,31 -0.538726,32 9}
{0 1.107933,1 -1.506015,2 -0.101303,3 1.521743,4 -1.451582,5 -1.40221,6 -0.155298,7 -0.985453,8 -0.638178,9 -0.975727,10 -0.743133,11 0.127128,12 0.466834,13 -0.215791,14 0.542591,15 -0.546211,16 0.31506,17 0.388228,18 -0.541849,19 0.647345,20 -0.436126,21 0.09141,22 0.068366,23 0.100799,24 -0.582727,25 -0.223571,26 0.623074,27 0.342908,28 0.245237,29 -0.138994,30 -0.190696,31 -0.30074,32 7}
{0 8.040923,1 1.033877,2 1.779562,3 0.173969,4 -1.472903,5 -0.170916,6 0.595081,7 -0.092121,8 1.221131,9 -0.690853,10 0.739179,11 1.094733,12 -0.104632,13 -1.100757,14 0.187997,15 -0.834843,16 0.546079,17 -0.088061,18 -0.54366,19 0.339413,20 0.309726,21 -0.324164,22 0.340515,23 0.377408,24 0.026041,25 -0.376072,26 -0.029503,27 -0.177931,28 -0.796705,29 -0.451128,30 -0.500491,31 -0.102547,32 8}
{0 6.644401,1 -3.747508,2 -4.963448,3 2.211393,4 -0.391923,5 -1.306392,6 0.766788,7 0.745518,8 0.423224,9 -0.648805,10 -0.524883,11 0.89152,12 -0.963237,13 -0.691697,14 -1.195161,15 0.167054,16 -0.09894,17 -0.993422,18 0.423618,19 -0.022812,20 -0.926709,21 0.34435,22 0.310164,23 0.376323,24 0.015292,25 -0.512419,26 -0.083274,27 0.165981,28 0.014911,29 -0.65749,30 -0.267801,31 -0.77127,32 6}
{0 9.354511,1 4.612455,2 3.322704,3 1.783585,4 -0.959794,5 -2.403523,6 -1.26786,7 1.187381,8 0.967623,9 -1.620401,10 0.655603,11 1.053419,12 0.190492,13 -0.373857,14 0.830173,15 0.222004,16 -0.55842,17 0.557339,18 -0.202188,19 -0.379651,20 -0.506962,21 0.181159,22 0.327498,23 -0.000526,24 0.249755,25 -0.588233,26 -0.477739,27 -0.49703,28 0.558765,29 -0.505237,30 0.160963,31 -1.038673,32 2}
{0 12.714536,1 6.78391,2 3.03564,3 2.063259,4 -1.936759,5 -1.632682,6 1.90632,7 -1.158272,8 0.262787,9 -0.862179,10 0.964107,11 1.447771,12 0.115856,13 -1.508464,14 -0.143642,15 -2.217691,16 0.340067,17 -0.374883,18 0.160787,19 -0.327523,20 -0.141484,21 1.42707,22 -0.681429,23 0.435131,24 0.091739,25 0.400915,26 -0.148124,27 -0.025066,28 -0.183177,29 -0.008738,30 0.617747,31 0.180778,32 10}
{0 3.71869,1 4.142298,2 0.126819,3 3.48033,4 -1.958288,5 -0.244796,6 -0.722049,7 2.026334,8 0.938827,9 0.736683,10 -0.280718,11 0.512987,12 -0.945957,13 -0.548223,14 0.859419,15 -0.776656,16 -0.697739,17 -0.421727,18 -0.282406,19 1.199286,20 -0.262881,21 -0.589941,22 -0.679416,23 -0.005073,24 -0.121042,25 -0.185813,26 0.551057,27 0.182894,28 0.573229,29 -0.178821,30 0.734285,31 0.623083,32 7}
